team name          	 NM1    	 NM2    	 NM3    	 NM4    	 HD1    	 HD2    	 HR1    	 HR2    	 DT1    	 DT2    	 Seed	 NM Seed	 HD Seed	 HR Seed	 DT Seed	 NM1	 NM2	 NM3	 NM4	 HD1	 HD2	 HR1	 HR2	 DT1	 DT2
10000000 backflips 	  982025	 1522922	  727821	  743972	  946736	  493110	 1298392	  980755	 1753104	  966604	   18	      18	      53	      19	       9	  27	   4	  37	  34	  48	  64	  20	  18	   6	  19
2hu vape squad     	  786057	  814884	  471476	  596116	  675059	  308351	  859378	  790430	  956870	  401221	   61	      62	      84	      52	      55	  56	  42	  69	  60	  75	  78	  61	  33	  50	  64
Crystal            	  287496	  258112	  349539	  414966	 1112586	  266746	  578143	  113344	  261487	  272968	   87	      94	      61	      90	      87	  98	  91	  82	  81	  30	  83	  84	  97	  90	  82
4OldManBestSuiGiai 	  829894	  747299	  739428	  923843	 1083212	  459679	 1093647	  612918	  886749	  292193	   47	      38	      48	      48	      64	  49	  52	  35	  15	  35	  67	  44	  47	  56	  77
4P                 	  490718	  229063	  253628	  429380	  340051	  158134	  509010	  391606	  350442	  166171	   92	      91	      94	      83	      89	  93	  93	  92	  80	  95	  93	  89	  72	  87	  92
:ruotsi:           	 1024605	 1004943	 1361402	  780194	  926093	 1245889	 1142436	  904692	 1773460	 1590638	   11	      14	      19	      24	       4	  24	  29	   3	  29	  51	   5	  39	  23	   5	   2
>c ronaldo7        	  956173	  760950	  547091	  617605	  965333	  389679	 1432381	  587081	  772903	  325611	   52	      51	      63	      26	      68	  29	  51	  57	  58	  45	  69	  12	  53	  64	  71
80 nuggets         	  764632	  239664	  627323	  641902	  596479	  992131	  670802	  364176	  255650	  417613	   74	      70	      45	      77	      82	  57	  92	  52	  52	  85	  15	  80	  75	  91	  62
A5 Ramen           	  804062	  776270	  847238	  718570	  646973	  502047	  767739	  607951	 1075195	 1470774	   43	      41	      73	      63	      11	  54	  48	  27	  38	  78	  61	  68	  49	  40	   4
ABRENUNCIAÇÃO😈    	  601531	  609819	  413260	  430017	  601221	  260631	  710299	  360164	  454461	  194797	   82	      76	      85	      74	      84	  78	  70	  75	  79	  82	  84	  76	  76	  81	  89
Cracento           	  588765	  357132	  294677	  324423	  904815	  237297	  544476	  171574	  208777	  107874	   89	      88	      75	      89	      97	  79	  82	  89	  93	  54	  87	  85	  91	  95	  98
Albion online es u 	  647070	  696363	  429152	  490985	  629196	  359718	  976097	  496576	  750371	  425926	   71	      72	      83	      59	      65	  73	  59	  74	  73	  79	  72	  53	  63	  65	  61
Anton and friends  	  929746	 1006961	 1029037	  856287	  979165	  502135	 1111739	  895452	  929121	  837093	   36	      22	      52	      30	      38	  33	  28	  13	  19	  43	  60	  43	  26	  52	  30
Baksal             	 1113173	  991492	  797430	  796815	 1414073	  699779	 1264331	  961181	 1596864	  785326	   20	      25	      20	      21	      19	  15	  31	  28	  25	  15	  34	  25	  20	   9	  33
Asriel             	  548453	  446729	  370648	  335895	  360866	  258927	  475502	  416335	  184581	  187954	   90	      83	      93	      85	      94	  86	  80	  79	  92	  94	  86	  94	  71	  97	  90
Banana da Madeira🍌	 1068611	  789797	 1030905	  616614	 1478034	  574202	 1265849	  515800	 1129929	  518176	   39	      31	      24	      42	      46	  19	  46	  12	  59	  10	  48	  24	  59	  37	  52
BlaskBasedCtn(BBC) 	  573016	  179238	  322787	  384373	  618958	  386889	  487830	  188136	  408505	  255313	   88	      90	      80	      91	      83	  84	  97	  88	  85	  81	  70	  92	  88	  83	  85
Blue Pants         	 1131634	 1290110	  873354	 1157740	 1529059	 1104327	 1335040	 1554736	 1528109	  850886	    8	      12	       7	       5	      20	  14	  10	  25	   4	   7	   9	  16	   2	  15	  27
Bread Incarnate    	 1302027	 1017271	  532854	  655191	  900924	  633335	 1555784	  920039	 1393797	  609262	   32	      30	      49	      12	      34	   8	  27	  62	  47	  56	  40	   9	  21	  22	  46
Bunny Enjoyers     	 1090923	 1124020	  715408	  737600	 1435483	  846256	 1402194	  623951	 1322130	  865249	   24	      27	      17	      25	      29	  18	  20	  38	  35	  13	  22	  13	  43	  25	  25
DA ZONE            	  838819	  904792	  742841	  652895	  958058	  718033	 1400261	  608581	 1261087	  691313	   41	      42	      40	      29	      36	  48	  36	  34	  49	  46	  31	  14	  48	  29	  38
Dreamy goat        	  715673	  855688	  552146	  674995	  936177	  785979	  755730	  387665	  615126	  318809	   63	      55	      36	      70	      74	  66	  38	  56	  43	  50	  25	  70	  73	  72	  74
Alue               	  719803	  804776	  586351	  504666	  870853	  500782	  722005	  523209	  785726	  558326	   64	      64	      62	      67	      56	  65	  43	  55	  72	  62	  63	  75	  58	  62	  50
FLOPINSKI          	 1964325	 1985611	 1865628	 1066660	 2091141	 1942952	 1599121	 1022922	 2350028	 1363147	    1	       1	       1	      10	       1	   1	   1	   1	   8	   1	   1	   8	  15	   1	   6
Finger Controln't  	  688394	  633308	  888892	  664879	  901234	  676804	 1215630	  561371	  812951	  638473	   46	      52	      46	      43	      52	  68	  69	  23	  46	  55	  36	  30	  55	  60	  42
FishOnFire         	  969007	 1051601	  770352	  573829	 1044503	  658643	 1330072	  558433	 1423607	  632363	    6	      37	      39	      38	      32	  28	  25	  31	  63	  39	  38	  17	  56	  19	  44
Fishe              	  872433	  776896	  994882	  760471	 1100533	 1853829	 1366286	 1093065	  885329	  557044	   21	      33	       4	      13	      53	  40	  47	  16	  31	  32	   2	  15	  13	  57	  51
Funky              	  954334	  715332	  477822	  544397	  751505	  525526	  877758	  701980	  525988	  280413	   66	      60	      67	      56	      79	  30	  57	  68	  66	  72	  54	  58	  37	  77	  78
eniu               	  653065	 1092475	  756011	  625470	 1100415	  317230	  779358	  500668	  852505	  356601	   58	      43	      55	      66	      62	  72	  23	  32	  57	  33	  77	  65	  62	  58	  69
GO USA :flag_mx:   	  738424	  768223	  678619	  467529	  876788	  508200	  931699	  681194	  891728	  801572	   50	      63	      60	      54	      42	  63	  49	  46	  75	  61	  59	  55	  38	  54	  32
CpxG               	  513527	  346738	  211217	  414858	  190579	  127908	  763386	  129005	  499126	  315756	   91	      89	      98	      84	      78	  90	  84	  93	  82	  98	  95	  69	  96	  78	  75
Gensou Skydrifters 	  660289	  154685	  471266	  403925	  666150	  482308	  486983	  380060	  822330	  258514	   79	      84	      74	      86	      70	  71	  99	  70	  83	  77	  65	  93	  74	  59	  84
Good Apple         	  684771	  330272	  468059	  645542	  896172	  320701	  796862	  322945	  638586	  673355	   72	      74	      70	      72	      57	  69	  85	  71	  51	  57	  76	  64	  79	  68	  40
GuruguruMawaru     	 1480963	  944041	  959618	  916866	 1298830	 1031839	 1699086	  985058	 1622514	  903683	   12	      13	      15	       9	      12	   4	  35	  17	  16	  17	  14	   6	  17	   8	  23
Inflatable Boat    	  843068	  725454	  388150	  633140	  790742	  297518	 1229746	  424360	  803202	  401724	   65	      65	      78	      51	      63	  46	  55	  77	  55	  69	  81	  28	  70	  61	  63
origin_            	  363803	  189263	  189910	  229989	  336820	   93792	  367435	  110414	  410642	  118116	   42	      98	      97	      98	      88	  97	  95	  96	  98	  96	  97	  96	  98	  82	  96
JotnyangE fan club 	 1029172	  732712	  713313	  648268	  815672	  576046	  860359	  623612	 1065939	 1142052	   44	      44	      58	      58	      28	  23	  54	  39	  50	  67	  47	  60	  44	  41	  12
chests             	  565668	  402199	  376690	  375721	  517448	  229525	  755396	  305773	  305057	  209955	   85	      82	      88	      75	      90	  85	  81	  78	  87	  88	  88	  71	  81	  88	  88
La+ Ratio          	  787280	  659520	  543781	  710447	 1073983	  705553	  958750	  619840	  664212	  483555	   54	      59	      33	      57	      67	  55	  65	  58	  40	  36	  33	  54	  46	  67	  54
Lesbian Group      	  481881	  227895	  190788	  254841	  454157	  198849	  335620	  172935	  183153	  126958	   97	      97	      91	      97	      98	  95	  94	  95	  97	  92	  89	  97	  90	  98	  95
Los PollosHermanos 	  636621	  521341	  292909	  269451	  586397	  524265	  581926	  228649	  240203	  268455	   84	      81	      77	      87	      91	  74	  73	  90	  95	  86	  55	  83	  87	  92	  83
Methylphenidate    	  588359	  671931	  593300	  430520	  802166	  627343	 1058741	  571820	  995252	  724293	   57	      69	      54	      53	      39	  80	  63	  54	  78	  68	  42	  48	  54	  47	  36
RMEfan             	 1000392	  684107	  465660	  581762	  598466	  557232	  914659	  484441	  628425	  340262	   68	      58	      72	      62	      73	  26	  61	  72	  61	  83	  50	  56	  65	  70	  70
Miku fanclub       	 1630614	 1250900	 1241616	  913170	 1838007	 1122075	 1868900	 1068314	 1310522	 1746699	    2	       5	       3	       4	       6	   2	  11	   4	  18	   2	   8	   2	  14	  26	   1
My Angel NathanRam 	 1064451	  904768	  673017	  914941	 1257339	  810267	 1287159	 1109387	 1717144	 1075107	   16	      29	      22	      15	       7	  20	  37	  47	  17	  22	  24	  23	  11	   7	  14
NVM                	  909723	  832861	  479238	  653212	  987524	  501333	 1319065	  620928	 1007309	  279487	   49	      53	      51	      35	      58	  36	  41	  67	  48	  42	  62	  18	  45	  45	  79
alfiu              	  375344	  329221	  322864	  268324	  483713	  190467	  374987	  157168	  211421	  153951	   96	      95	      90	      95	      95	  96	  86	  87	  96	  90	  91	  95	  92	  94	  94
PengFrogTedotter   	  863706	  608288	  788238	  572205	  878453	  533929	  911929	  504491	  957378	  590250	   55	      54	      56	      61	      49	  42	  71	  29	  64	  60	  53	  57	  61	  49	  47
Pochki Otkazali    	  532950	 1101245	  534734	  504710	  761127	  271157	  499600	  155979	  526285	  302033	   77	      61	      79	      93	      77	  89	  22	  61	  71	  71	  82	  90	  93	  76	  76
